TrackID,Song,Artist,ReleaseYear,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,DurationMS,TimeSignature,Region
2XLAzm8bMDSI7MhbRW8nVj,I Wanna Be Your Lover,Prince,1979,0.812,0.506,1,-8.825,0,0.0453,0.0399,0.0847,0.0671,0.727,114.832,347667,4,Western
0zTQgz6eXA2vxrj8Z9TXNx,Why You Wanna Treat Me So Bad?,Prince,1979,0.695,0.432,6,-10.69,1,0.0343,0.139,0.0031,0.281,0.887,126.34,230960,4,Western
62swKfU8FW7mUMjsYzX7O4,Sexy Dancer,Prince,1979,0.838,0.561,0,-13.205,1,0.0606,0.00175,0.255,0.0536,0.633,121.131,258613,4,Western
0awG4a7t5UrmZZ4PZVNav3,Get Down Saturday Night,Oliver Cheatham,2020,0.883,0.674,10,-9.218,0,0.116,0.0693,0.000958,0.0448,0.898,118.907,234000,4,Western
7oQ1wkBmYSBEC2x7U08dvn,And the Beat Goes On,The Whispers,1987,0.793,0.643,11,-7.345,0,0.106,0.134,0.00246,0.0361,0.963,114.894,454253,4,Western
1YCsTFttuHAzgfEWKdOb9K,Rock Steady,The Whispers,1987,0.927,0.832,10,-7.665,0,0.0604,0.0139,2.6e-06,0.0394,0.958,115.384,307773,4,Western
58r4JuwHhXLAkttkaUZfLw,Got to Be Real,Cheryl Lynn,1978,0.836,0.626,9,-10.143,0,0.0335,0.0943,0.742,0.153,0.898,114.657,307947,4,Western
7vuSGejUXpD365Nl9tyehq,Forget Me Nots,Patrice Rushen,1982,0.912,0.534,6,-5.319,0,0.0366,0.139,0.102,0.0387,0.963,114.681,275813,4,Western
3NZJlJemX3mzjf56MqC5ML,Forever,Chris Brown,2008,0.672,0.82,11,-4.456,1,0.0459,0.0368,0.000188,0.184,0.438,120.005,278573,4,Western
62zFEHfAYl5kdHYOivj4BC,International Love (feat. Chris Brown),Pitbull,2011,0.67,0.855,0,-3.035,0,0.0499,0.0124,0.0,0.335,0.648,120.05,227280,4,Western
28285KFbyCq8sJofn58qlD,Love Train,The O'Jays,1972,0.744,0.568,0,-9.629,1,0.0494,0.186,1.18e-05,0.163,0.687,122.657,178400,4,Western
5XeSAezNDk9tuw3viiCbZ3,Get Up Offa That Thing,James Brown,2003,0.864,0.813,2,-6.909,1,0.361,0.217,0.0,0.874,0.72,118.006,239733,4,Western
7FqcsBx3azfOg1gAJkAXje,People Get Up And Drive Your Funky Soul,James Brown,2010,0.854,0.843,0,-5.942,1,0.233,0.546,0.00167,0.117,0.787,97.943,221773,4,Western
4ulUxJwGJeCkthwblfTN0j,I Got You (I Feel Good),James Brown,1991,0.599,0.49,7,-8.39,1,0.109,0.308,3.26e-06,0.164,0.738,143.321,166533,5,Western
3ObPkJQAgjAhTwYvDhPrAW,Blue Hour,TOMORROW X TOGETHER,2020,0.71,0.82,3,-4.362,0,0.0836,0.00962,0.0,0.0871,0.746,112.005,209105,4,Eastern
4saklk6nie3yiGePpBwUoc,Dynamite,BTS,2020,0.746,0.765,6,-4.41,0,0.0993,0.0112,0.0,0.0936,0.737,114.044,199054,4,Eastern
5KawlOMHjWeUjQtnuRs22c,Boy With Luv (feat. Halsey),BTS,2019,0.645,0.862,11,-4.757,0,0.0965,0.0923,0.0,0.192,0.798,119.991,229773,4,Eastern
0bDYceyQd1jnJO4sK47YxU,Dingga,MAMAMOO,2020,0.772,0.925,9,-2.788,0,0.108,0.0549,0.0,0.201,0.795,119.963,179080,4,Eastern
24nK8tW7Pt3Inh2utttuoG,HIP,MAMAMOO,2019,0.782,0.731,3,-4.581,0,0.143,0.0376,3.15e-05,0.0956,0.824,138.032,195307,4,Eastern
1iIhGHzzrzqQfuNkFI2qAn,Any song,ZICO,2020,0.874,0.787,10,-2.416,0,0.129,0.118,0.0,0.11,0.896,108.007,227227,4,Eastern
4sa8O4AwMja6r1Enu35Fmz,Oasis,Crush,2015,0.457,0.818,4,-4.157,0,0.261,0.221,0.0,0.435,0.822,96.168,191279,4,Eastern
4G5SXAQyz9D75KmKTLbI0X,Cereal,Crush,2018,0.883,0.567,9,-6.092,0,0.0374,0.552,0.0,0.108,0.561,115.051,218097,4,Eastern
6puc8hVWY3mIE6x9SMEEzX,Slip N Slide,SOMDEF,2018,0.816,0.779,10,-6.97,0,0.291,0.24,1.84e-05,0.187,0.662,104.979,187276,4,Eastern
6txRAxfSDogqUd6BYzfocG,Babay,Zion.T,2013,0.728,0.681,7,-6.099,1,0.178,0.255,0.0,0.116,0.692,109.921,245971,4,Eastern
261LXApprrMeuczNAGqjav,너 하나만 One And Only You,GOT7,2018,0.594,0.846,7,-2.539,0,0.308,0.146,0.0,0.0215,0.783,169.931,200541,4,Eastern
73pkNaWK4N5QfkjabwW40s,Ladies Night,Red Velvet,2019,0.598,0.883,7,-3.456,1,0.0792,0.0895,0.0,0.0731,0.705,115.023,236746,4,Eastern
4RCstQ4YjgYnjGEu0X2BxP,You Got,WJSN,2019,0.725,0.902,7,-4.874,0,0.0667,0.0476,0.0,0.137,0.67,115.062,214848,4,Eastern
1OIb1AalkGikhzCRbWgchd,Secret,WJSN,2016,0.692,0.969,7,-3.213,0,0.0678,0.167,0.0,0.301,0.762,111.495,222582,4,Eastern
0cZMA3EdKJKrKoGQEeMhFJ,Butterflies,Red Velvet,2018,0.696,0.776,11,-5.728,0,0.0395,0.147,8.73e-06,0.0839,0.494,120.008,209201,4,Eastern
48Nd8rdc0WVG4rHTd76Mh6,Look,Red Velvet,2017,0.761,0.785,7,-4.369,1,0.052,0.0792,0.000112,0.142,0.78,111.037,245599,4,Eastern
0udhVlaFTeXvlmYWaFo66D,"Fire (feat. Conan O'Brien, Steven Yeun, 박지민 Jimin Park)",J.Y. Park,2016,0.695,0.896,2,-2.078,1,0.152,0.0256,0.0,0.0902,0.901,138.046,185887,4,Eastern
5Tl3pavJASY16gGDhCoe4Q,HONEY (MR),J.Y. Park,2019,0.822,0.571,1,-8.157,1,0.0501,0.00381,0.918,0.0434,0.842,116.996,201026,4,Eastern
7Hjmz2XTMCuFvKBSfvrtC5,어머님이 누구니 (Who's your mama?) (Feat. Jessi),J.Y. Park,2015,0.692,0.83,1,-3.813,1,0.177,0.0262,0.0,0.204,0.53,115.006,221123,4,Eastern
